Land use,Year,Month,Day,ops_no,irr_sc,fert_id,irr,fert_surf,irr_efm,bio_init,hi_targ,bio_targ
CORN,2007,5,1,3,,1,37,0,,,,
CORN,2007,5,1,3,,2,15.7,0,,,,
CORN,2007,5,1,6,,2,0,,,,,
CORN,2007,5,7,1,,19,1800,0,0,0,0,0
CORN,2007,7,1,3,,1,125,0,,,,
CORN,2007,10,25,5,,,0,,,,,
CORN,2008,5,1,3,,1,37,0,,,,
CORN,2008,5,1,3,,2,15.7,0,,,,
CORN,2008,5,1,6,,2,0,,,,,
CORN,2008,5,7,1,,19,1800,0,0,0,0,0
CORN,2008,7,1,3,,1,125,0,,,,
CORN,2008,10,25,5,,,0,,,,,
CORN,2009,5,1,3,,1,37,0,,,,
CORN,2009,5,1,3,,2,15.7,0,,,,
CORN,2009,5,1,6,,2,0,,,,,
CORN,2009,5,7,1,,19,1800,0,0,0,0,0
CORN,2009,7,1,3,,1,125,0,,,,
CORN,2009,10,25,5,,,0,,,,,
CORN,2010,5,1,3,,1,37,0,,,,
CORN,2010,5,1,3,,2,15.7,0,,,,
CORN,2010,5,1,6,,2,0,,,,,
CORN,2010,5,7,1,,19,1800,0,0,0,0,0
CORN,2010,7,1,3,,1,125,0,,,,
CORN,2010,10,25,5,,,0,,,,,
CORN,2011,5,1,3,,1,37,0,,,,
CORN,2011,5,1,3,,2,15.7,0,,,,
CORN,2011,5,1,6,,2,0,,,,,
CORN,2011,5,7,1,,19,1800,0,0,0,0,0
CORN,2011,7,1,3,,1,125,0,,,,
CORN,2011,10,25,5,,,0,,,,,
CORN,2012,5,1,3,,1,37,0,,,,
CORN,2012,5,1,3,,2,15.7,0,,,,
CORN,2012,5,1,6,,2,0,,,,,
CORN,2012,5,7,1,,19,1800,0,0,0,0,0
CORN,2012,7,1,3,,1,125,0,,,,
CORN,2012,10,25,5,,,0,,,,,
CORN,2013,5,1,3,,1,37,0,,,,
CORN,2013,5,1,3,,2,15.7,0,,,,
CORN,2013,5,1,6,,2,0,,,,,
CORN,2013,5,7,1,,19,1800,0,0,0,0,0
CORN,2013,7,1,3,,1,125,0,,,,
CORN,2013,10,25,5,,,0,,,,,
CORN,2014,5,1,3,,1,37,0,,,,
CORN,2014,5,1,3,,2,15.7,0,,,,
CORN,2014,5,1,6,,2,0,,,,,
CORN,2014,5,7,1,,19,1800,0,0,0,0,0
CORN,2014,7,1,3,,1,125,0,,,,
CORN,2014,10,25,5,,,0,,,,,
CORN,2015,5,1,3,,1,37,0,,,,
CORN,2015,5,1,3,,2,15.7,0,,,,
CORN,2015,5,1,6,,2,0,,,,,
CORN,2015,5,7,1,,19,1800,0,0,0,0,0
CORN,2015,7,1,3,,1,125,0,,,,
CORN,2015,10,25,5,,,0,,,,,
CORN,2016,5,1,3,,1,37,0,,,,
CORN,2016,5,1,3,,2,15.7,0,,,,
CORN,2016,5,1,6,,2,0,,,,,
CORN,2016,5,7,1,,19,1800,0,0,0,0,0
CORN,2016,7,1,3,,1,125,0,,,,
CORN,2016,10,25,5,,,0,,,,,
